Title,Year,Genre,Synopsis,IMDb id
Image of Victory,NA,"Drama, History, War","Inspired by true events in 1948. Hassanin, an Egyptian filmmaker, is tasked with documenting a raid on the isolated kibbutz Nitzanim. When the kibbutz learns of the impending army raid, ...                See full summary »",14556392
Lebanon,NA,"Drama, War","During the First Lebanon War in 1982, a lone tank and a paratroopers platoon are dispatched to search a hostile town.",1483831
Paradise Now,NA,"Crime, Drama, Thriller",Two childhood friends are recruited for a suicide bombing in Tel Aviv.,0445620
Winter Games,NA,Drama,Add a Plot,0151588
"It's a Funny, Funny World",NA,Comedy,Israeli gag comedy starring Boaz Davidson and featuring songs by Ariel Zilber.,0077757
Chaber,NA,"Drama, Family, History","Two families come together during a beach vacation which soon turns to chaos after a disagreement in traditional values, family principles on upbringing and table manners.",19048276
Road 40 South,NA,"Drama, War","On the backdrop of 2008-2009 Gaza War at Hanukkah, eight stories of love and compassion take place alongside the border.",3426156
Zog or Pered,NA,NA,Add a Plot,0298614
Two Flags,NA,"Action, Adventure, Family","The movie 'Two Flags', set in the time of WW2, tells in a voice that speaks to children and adults, the story of a small group of underdog kids fighting to save their home from their local ...                See full summary »",1863378
From the Other Side,NA,Drama,Add a Plot,0161814
Gam Zu L'Tovah,NA,Drama,"A series of indifferences and conflict bring two communities closer than ever, questioning the purpose of tradition and following one's birth tribe.",19050840
Not Every Day Is Purim,NA,NA,Add a Plot,0238465
Kalinka Maya,NA,NA,Add a Plot,0177877
Sod Kavur,NA,"Fantasy, Thriller",Add a Plot,8367810
Marionette,NA,Drama,"'Marionette' is a human comedy-drama focused on Michal Navon, a military reporter, who stubbornly investigates the mystery of the disappearance of a soldier in Lebanon. Alongside the ...                See full summary »",21249770
Burning Land,NA,Drama,Add a Plot,0133338
Indoors,NA,Drama,"Avraham is a small-time contractor who's trying to make it into the big-time, and therefor gambles on projects that exceed his capabilities. His family lives in the shadow of his career ...                See full summary »",5991264
Tubianski,NA,"Drama, History, Thriller",Add a Plot,3995806
Primo and Sabbatai,NA,"Comedy, Drama","Primo is obsessed with Sabbatai Zevi, the false Messiah from Smyrna, whose life was a sequence of religious and sexual scandals. Identifying with the lost soul of the forgotten Zevi, Primo ...                See full summary »",12708228
Nelson,NA,Drama,"This saga unfolds at the 1955 Court Martial in which Israeli soldier stands accused of desertion, during which he made his way via Europe to the swamps of Vietnam, in search of justice - and revenge.",8694428
Atlit,NA,"Comedy, Drama, Fantasy","In October 1995 three French sisters gather in Atlit, Israel to sell the family home. Tensions arise between elders Darel and Cali when Darel proves unwilling to sell. That's when the sisters start seeing apparitions of their dead parents.",3288166
Kapo in Jerusalem,NA,"Drama, History",An exploration of the moral and survival dilemmas in Auschwitz from the point of view of a deputy head of a block and a few of the prisoners from his block who survived the horrors of the ...                See full summary »,4495188
Cannon Fodder,NA,"Action, Horror","Doron, a security operative, who takes on one last mission: to capture, number 3 in the terrorist organization of Hezbollah, in Lebanon. With an elite force, Doron enters Lebanon to ...                See full summary »",2526898
Beneath the Silence,NA,"Drama, History, War","1973, a small family crumbles due to the father's PTSD, on the verge of the Yom Kipur War.",5805058
Restoration,NA,Drama,A drama about a family's effort to save their antique restoration business.,1787663
Love in Suspenders,NA,"Comedy, Romance","Tami is a widow in her 60s and Beno is a widower in his 70s. They are both still suffering from the loss of their loved ones, but disregarding their differences in lifestyle and personality, they eventually fall in love.",10217148
Marriage Agreement,NA,Comedy,"After 20 year Elimelech and his wife, Shifra, rediscover their love for each other while searching for the marriage agreement which is needed for Ayala's, their daughter, wedding.",1397509
Round Trip,NA,Drama,"A divorced Israeli woman hires a single African woman as a nanny, and soon the two women form a passionate friendship that leads to a romantic relationship.",0433043
The Forest,NA,"Drama, Horror","The film tells the story of a family coming to the French forests to live there for several months. They moves to a house in the heart of a forest, in order to film a small, family-run ...                See full summary »",14797014
A Gift from Heaven,NA,Comedy,Add a Plot,0175895
Born in Jerusalem and Still Alive,NA,"Comedy, Drama, Romance",A black comedy which follows Ronen Matalon's journey to overcome his anxiety of terror attacks. Ronen uses writing and guiding a tour of terror-attack sites along Jerusalem's Jaffa Street to try and break free from his trauma.,9811480
Amazing Grace,NA,Drama,"Against the backdrop of AIDS, the film explores two families, each with a gay son. Jonathan is splitting from Miki because the more experienced Miki is playing around. Then Jonathan sees ...                See full summary »",0104414
Groupie,NA,Drama,Add a Plot,0133819
The World Is Funny,NA,"Comedy, Drama",Simple people struggle through extraordinary circumstances. Sometimes the only answer to any problem is 'The world is funny so we have to laugh.',2104908
Mars Turkey,NA,"Comedy, Crime, Drama","A police captain needs to balance between protecting the last remaining witness in a trial, and his rapidly disintegrating love life.",0278554
Gonev Miganav Patoor,NA,Comedy,A thief is released from prison and with the help of his friend he tries to avenge the policeman who caught him.,0239015
Marco Polo: The Missing Chapter,NA,"Adventure, Biography, Drama","In the midst of a war between Venice and Genoa, Marco Polo, a citizen of Venice, is imprisoned by the inquisition and is charged with heresy.The Genoans, whose real interest is seizing ...                See full summary »",0116987
Never Too Late,NA,Drama,"After spending eight years in the farthest reaches of South America, 30-year-old Herzl returns home to Israel. With no ambitions or prospects for the future, he finds a job hanging posters ...                See full summary »",1774428
Outdoors,NA,Drama,"Gili and Yaara decide to leave the city and have a fresh start, building a house in the countryside of the Galilee. But while their dream house is being built, the foundations of their relationship slowly collapse.",7267674
Inertia,NA,Drama,"Mira Segal wakes up screaming one morning to discover that her husband has disappeared. The police open a Missing Person file and advise her to wait. As weeks turn into months, Mira ...                See full summary »",5028530
The Journey to Planet Minimik,NA,"Animation, Family","Mimack City, the city where the naughty, brave Max lives, sophisticated Zoe, Reckless Jimbo and Sunny the Genius.The fifth rib of their gang is their pet -- Elvis, a little Mini-Mik.The ...                See full summary »",3308710
Madam Yankelova's Fine Literature Club,NA,Drama,"What is going on behind the closed doors of the women-only secret club? The first rule is that love is prohibited. When Sophie falls in love with a mysterious man, she must choose between ...                See full summary »",6965662
My Mother the General,NA,"Comedy, Drama",A mother comes to her son's base to keep him fed,0145835
I Don't Give a Damn,NA,Drama,Add a Plot,0121490
New Queer Visions: Parental Guidance,NA,Drama,"As any mother or father will tell you, when it comes to parenting, there's no right way to do it. Discover the highs and lows of being a queer kid in a straight family and vice-versa in these six stories from around the world.",15486344
Herzl's Susita,NA,Drama,A film teacher had to teach in Sderot and change the lives of his students.,9067840
Days of Noah,NA,Drama,"A story about fathers, sons, and consequence in the days before the flood foretold by Noah.",14427170
Hora 79,NA,"Comedy, Drama",The Hora 79 dance troupe was the face of Israeli folk dancing. Following a traumatic event. An accident? A murder? A suicide? The group ceased its activity and the members went their own ...                See full summary »,3002584
Dead End Street,NA,Drama,"Based on a true story. Alice, a young street walker, receives an opportunity of a lifetime when a television crew casts her to star in a documentary about prostitution in Tel-Aviv. Alice, a...                See full summary »",0125824
Late Summer Blues,NA,"Drama, Romance","A group of close friends celebrate the bittersweet changes coming to their lives during the summer of their high-school graduation: adult responsibilities, adult romance -- and the ...                See full summary »",0092678
The Highway Queen,NA,Drama,"A story of a street walker, who tries to leave the world of prostitution when she gets pregnant.",0142642
As Tears Go By,NA,Drama,"Yaakov Tcherniak and his son Yitzhak have a small company that organizes parties and events. They travel to weddings, bar mitzvas and birthdays, and supply the sound equipment and a female ...                See full summary »",0118220
Death of a Poetess,NA,Drama,"A delicate, poetic cinematic work, consisting of two parallel axes. Lenny Sadeh is a Tel Aviv based scholar who passes through the last day of her life. Yasmin Nasser, an Arab nurse who ...                See full summary »",7067390
Mira Flores,NA,Drama,"Based on an incredible true story - Zora, a young American woman is wrongfully imprisoned for attempting to smuggle 10 kilos of Cocaine out of Bolivia, where she is incarcerated in one of ...                See full summary »",7450390
My Dearest Enemy,NA,Drama,"My Dearest Enemy tells the story of a friendship between two women, Alice, an Israeli Arab professor and Maya, a Jewish artist, who met at age 14 in Jerusalem. The film spans over 25 years ...                See full summary »",8964196
Operation Sunflower,NA,"Drama, History","Through the eyes of the scientist in charge of the operation, we see the events leading to Israel developing her nuclear option in the 1960's.",2964144
Fortuna,NA,Drama,"The tragic story of a girl who has been promised to a wealthy aristocrat at the age of four. Horrified by her prospective husband, she runs away with her lover, but she is pursued by her father and brothers.",0060423
Podarok Stalinu,NA,Drama,"A Jewish child deported to Kazakhstan is saved and adopted by Kasym, an old Kazakh railway-man. Kasym gives him a Kazakh name, Sabyr, that in Kazakh language means humble. The child grows ...                See full summary »",1305027
The Fifth Heaven,NA,"Drama, History","Maya, a beautiful, 13, arrives to an orphanage towards the end of World War II. She discovers who her true father is and has a forbidden relationships with an orphanage worker.",2072055
Maftir,NA,Crime,"Two weeks before Elio is released from prison, he finds out that his brother Meir was killed in a gang fight on the streets of South Tel Aviv. He now has two things that he wants to do. The...                See full summary »",1337657
